entire,campus,number,class_,seperate,major,class_name,prof,time,place
선택교양(기초과학),서울,LIET151,7,교양,환경생태공학부,"화학의기초및연습Ⅰ 신입생 외(재수강/고학년/편입생/타학과생)
",김태욱,3(3),월(1) 생명과학관(서관) 401호 수(1) 생명과학관(서관) 401호
선택교양(기초과학),서울,LIET153,1,교양,환경생태공학부,"생물통계학 생명과학부, 환경생태공학부 우선순위 수강",천용식,3(3),화(2) 생명과학관(서관) 201호 목(2) 생명과학관(서관) 201호
자유정의진리,서울,GELI001,BI,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,진은경,3(3),화(3-4)  목(3-4)
자유정의진리,서울,GELI001,BJ,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,진은경,3(3),화(5)  목(5)
자유정의진리,서울,GELI001,BK,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,이민희,3(3),화(6)  목(6)
자유정의진리,서울,GELI001,BL,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,이민희,3(3),화(7-8)  목(7-8)
자유정의진리,서울,GELI003,A1,교양,교양교육원,"자유정의진리I (외국인반, 초급)-신입생 우선 수강신청",허유경,3(3),화(2) 교양관 312호 목(2) 교양관 312호
자유정의진리,서울,GELI003,A2,교양,교양교육원,"자유정의진리I (외국인반, 초급)-신입생 우선 수강신청",전형길,3(3),월(3-4) 교양관 313호 수(3-4) 교양관 313호
자유정의진리,서울,GELI003,B1,교양,교양교육원,"자유정의진리I (외국인반, 중급)-신입생 우선 수강신청",임형옥,3(3),화(2) 교양관 314호 목(2) 교양관 314호
자유정의진리,서울,GELI003,B2,교양,교양교육원,"자유정의진리I (외국인반, 중급)-신입생 우선 수강신청",임형옥,3(3),화(5) 교양관 310호 목(5) 교양관 310호
자유정의진리,서울,GELI003,C1,교양,교양교육원,"자유정의진리I (외국인반, 고급)-신입생 우선 수강신청",류선숙,3(3),화(2) 교양관 313호 목(2) 교양관 313호
자유정의진리,서울,GELI003,C2,교양,교양교육원,"자유정의진리I (외국인반, 고급)-신입생 우선 수강신청",안정호,3(3),월(6) 교양관 313호 수(6) 교양관 313호
