entire,campus,number,class_,seperate,major,class_name,prof,time,place
ACADEMIC ENGLISH,서울,IFLS011,79,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Hudson Lim,1(2),화(4) 국제관 511B호 목(4) 국제관 511B호
ACADEMIC ENGLISH,서울,IFLS011,81,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",William du Plessis,1(2),화(1) 국제관 112호 목(1) 국제관 112호
ACADEMIC ENGLISH,서울,IFLS011,82,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Youn-Soo Chang,1(2),월(2) 국제관 511A호 수(2) 국제관 511A호
ACADEMIC ENGLISH,서울,IFLS011,83,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Youn-Soo Chang,1(2),월(3) 국제관 511A호 수(3) 국제관 511A호
ACADEMIC ENGLISH,서울,IFLS011,84,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Youn-Soo Chang,1(2),월(4) 국제관 511A호 수(4) 국제관 511A호
ACADEMIC ENGLISH,서울,IFLS011,85,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",월쉬널래그첸드라베단,1(2),월(1) 국제관 414호 수(1) 국제관 414호
ACADEMIC ENGLISH,서울,IFLS011,86,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Youn-Soo Chang,1(2),화(1) 국제관 307A호 목(1) 국제관 307A호
ACADEMIC ENGLISH,서울,IFLS011,87,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Youn-Soo Chang,1(2),화(2) 국제관 307A호 목(2) 국제관 307A호
ACADEMIC ENGLISH,서울,IFLS011,88,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Youn-Soo Chang,1(2),화(3) 국제관 307A호 목(3) 국제관 307A호
1학년세미나,서울,GEKS005,BS,교양,교양교육원,1학년세미나Ⅰ 경영학과,조명현,1(1),미정
1학년세미나,서울,GEKS005,BT,교양,교양교육원,1학년세미나Ⅰ 경영학과,지승민,1(1),미정
1학년세미나,서울,GEKS005,BU,교양,교양교육원,1학년세미나Ⅰ 경영학과,최우석,1(1),미정
1학년세미나,서울,GEKS005,BV,교양,교양교육원,1학년세미나Ⅰ 경영학과,편주현,1(1),미정
1학년세미나,서울,GEKS005,BW,교양,교양교육원,1학년세미나Ⅰ 경영학과,한승수,1(1),미정
1학년세미나,서울,GEKS005,BX,교양,교양교육원,1학년세미나Ⅰ 경영학과,한재민,1(1),미정
1학년세미나,서울,GEKS005,BY,교양,교양교육원,1학년세미나Ⅰ 경영학과,홍세준,1(1),미정
1학년세미나,서울,GEKS005,BZ,교양,교양교육원,1학년세미나Ⅰ 경영학과,황준호,1(1),미정
1학년세미나,서울,GEKS005,C1,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,정우봉,1(1),미정
1학년세미나,서울,GEKS005,C2,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,최호철,1(1),미정
전공관련교양,서울,CHEM155,11,교양,이과대학,일반화학실험 산업경영공학부 '20학번,변서은,1(3),월(7-9) 이학관별관607
전공관련교양,서울,CHEM155,12,교양,이과대학,일반화학실험 의예과 '20학번,최진주,1(3),화(2-4) 이학관별관 302호
전공관련교양,서울,CHEM155,13,교양,이과대학,일반화학실험 의예과 '20학번,이성언,1(3),화(2-4) 이학관별관 305호
전공관련교양,서울,CHEM155,14,교양,이과대학,일반화학실험 의예과 '20학번,박수홍,1(3),화(2-4) 이학관별관 307호
전공관련교양,서울,CHEM155,15,교양,이과대학,일반화학실험 의예과 '20학번,송운영,1(3),화(2-4) 이학관별관 309호
전공관련교양,서울,CHEM155,16,교양,이과대학,일반화학실험 의예과 '20학번,유화숙,1(3),화(2-4) 이학관별관605
전공관련교양,서울,CHEM155,17,교양,이과대학,일반화학실험 의예과 '20학번,박준영,1(3),화(2-4) 이학관별관607
전공관련교양,서울,CHEM155,18,교양,이과대학,일반화학실험 바이오의공학부 '20학번,최동선,1(3),목(7-9) 이학관별관 307호
전공관련교양,서울,CHEM155,19,교양,이과대학,일반화학실험 바이오의공학부 '20학번,박찬종,1(3),목(7-9) 이학관별관 309호
전공관련교양,서울,CHEM155,20,교양,이과대학,일반화학실험 바이오의공학부 '20학번,전지예,1(3),목(7-9) 이학관별관605
전공관련교양,서울,CHEM155,21,교양,이과대학,일반화학실험 바이오의공학부 '20학번,이주용,1(3),목(7-9) 이학관별관607
이과대학,서울,PHYS203,01,전공필수,물리학과,전자물리학및실험(영강),강세종,3(5),월(6) 아산이학관 432호 월(7-9) 아산이학관 446호
이과대학,서울,EAES201,00,전공필수,지구환경과학과,지구물질과학(영강),이영재,3(4),월(5) 하나과학관 지하 118호 수(4) 하나과학관 지하 118호
생명과학대학,서울,PMP301,00,전공선택,의과학융합전공,연구지도I,윤철원,1(3),금(7-9) 하나과학관 307호
